Electricite ,Temperature,Usure ,Pression,Humidite,Echappement,Congestion reseau
411.78,8.34,81.94,1010.84,90.01,480.48,0.66
590.75,23.64,88.1,1011.4,74.2,445.75,0.19
574.69,29.74,83.94,1007.15,41.91,438.76,0.52
501.87,19.07,93.95,1007.22,76.79,453.09,0.61
410.67,11.8,77.1,1017.13,97.2,464.43,0.66
395.52,13.97,70.99,1016.05,84.6,470.96,0.19
720.03,22.1,67.61,1008.2,75.38,442.35,0.24
421.78,14.47,50.68,1021.98,78.41,464,0.58
702.05,31.25,83.31,1010.25,36.83,428.77,0.43
385.62,6.77,88.44,1017.8,81.13,484.31,0.73
693.57,28.28,86.49,1006.36,69.9,435.29,0.16
473.99,22.99,99.16,1014.15,49.42,451.41,0.8
707.40,29.3,83.93,1010.95,61.23,426.25,0.43
378.65,8.14,88.85,1009.04,80.33,480.66,0.72
450.46,16.92,58.31,1017.34,58.75,460.17,0.22
647.92,22.72,54.86,1021.14,60.34,453.13,0.15
439.96,18.14,73.67,1012.83,47.1,461.71,0.74
450.76,11.49,82.02,1020.44,86.04,471.08,0.62
408.65,9.94,54.07,1018.9,68.51,473.74,0.23
415.11,23.54,59.34,1002.05,38.05,448.56,0.47
525.71,14.9,79.38,1015.11,77.33,464.82,0.04
656.10,33.8,98.66,1004.88,49.37,427.28,0.08
689.93,25.37,78.08,1011.12,70.99,441.76,0.72
414.50,7.29,93.12,1024.06,89.19,474.71,0.7
411.17,13.55,97.36,1019.13,75.44,467.21,0.13
359.26,6.39,57.7,1025.53,77.23,487.69,0.44
630.64,26.64,72.76,1011.81,72.46,438.67,0.58
418.04,7.84,97.12,1018.21,91.92,485.66,0.19
592.47,21.82,53.84,1011.71,64.37,452.16,0.54
681.25,27.17,61.2,1015.67,49.03,429.87,0.43
416.42,13.42,65.39,994.17,95.79,468.82,0.75
574.19,20.77,51.6,1012.4,83.63,442.85,0.19
364.41,8.29,57.32,1020.38,81.53,483.26,0.77
681.25,30.98,88.76,1015.18,45.4,433.59,0.32
720.03,31.96,80.81,1008.39,47.51,433.04,0.78
532.78,15.83,76.18,1024.3,58.34,458.6,0.07
714.98,22.56,71.53,1005.85,93.09,435.14,0.3
763.56,25.91,93.81,1018.23,62.65,443.2,0.69
400.06,8.24,90.01,1017.99,78.42,477.9,0.72
608.93,24.66,96.35,1018,59.56,445.26,0.04
693.57,29.31,57.25,1006.18,63.38,435.57,0.36
675.79,21.48,87.44,1008.58,84.49,447.42,0.27
451.57,18.28,97.42,1016.99,33.71,462.28,0.51
659.93,26.96,80.79,1015.05,46.93,441.81,0.66
661.15,16.01,63.59,1014,87.68,454.16,0.08
643.67,27.37,74.24,1009.79,65.25,437.24,0.02
400.26,16.3,55.98,1004.64,85.61,464.11,0.46
490.86,23.8,75.08,1002.43,67.32,440.89,0.32
420.77,8.19,58.61,1016.57,75.38,485.2,0.56
683.67,25.28,65.48,1009.05,68.54,445.34,0.41
710.23,21.47,80.93,1011.72,88.36,440,0.07
681.25,30.54,86.89,1014.37,32.97,431.35,0.71
445.01,18.3,61.29,1017.95,63.24,456.32,0.33
731.14,25.82,63.92,1003.4,86.33,432.98,0.27
698.21,31.12,63.73,1009.61,56.54,429.41,0.11
400.26,15.99,81.67,1006.09,89.92,464.95,0.57
427.03,8.42,93.99,1008.4,87.78,481.91,0.36
699.22,23.7,75.6,1011.73,73.18,437.15,0.55
405.21,15.71,82.42,1012.81,97.46,462.6,0.26
756.49,29.11,88.39,1003.31,74.01,432.43,0.29
616.30,23.73,59.26,1009.71,78.7,442.22,0.4
659.93,28.26,95.79,1014.56,43.4,441.03,0.11
416.12,15.92,55.51,1016.04,73.37,468.91,0.05
715.08,33.4,58.77,1009.17,57.01,432.46,0.12
689.83,31.92,80.52,1015.58,41.55,430.07,0.79
757.40,26.87,98.06,1002.48,71.91,437.78,0.06
411.88,5.23,98.68,1025.13,92.74,483.12,0.79
421.78,15.72,94.5,1023.07,66.95,462.19,0.35
513.89,17.74,68.59,1015.56,89.78,457.71,0.65
601.35,27.13,55.9,1004.33,73.27,438.32,0.08
671.55,25.82,99.12,1013.2,60.32,434.35,0.38
688.21,34.2,77.32,1002.7,56.09,427.05,0.78
692.96,19.13,88.25,1010.65,94.92,448.69,0.02
414.71,11.77,57.57,1021.45,76.63,475.88,0.25
418.75,10.25,63.6,1018.67,84.41,479.28,0.23
494.09,23.82,63.11,1010.48,44.45,446.85,0.42
669.13,30.1,97.47,1009.38,65.41,434.99,0.7
704.48,29.92,75.41,1009.12,67.15,441.5,0.61
674.18,29.63,89.35,1018.08,58.46,433.26,0.55
779.42,30.61,95.22,1009.49,73.19,430.46,0.41
513.89,16.18,85.46,1014.06,100.09,455.14,0.78
746.49,31.66,60.38,1004.49,68.13,431.26,0.24
621.15,29.14,94.18,1009.64,39.95,437.76,0.67
444.00,18.4,75.07,1012.4,77.81,464.63,0.52
390.06,15.86,85.09,1016.65,67.51,462.58,0.52
424.91,6.31,58.52,1004.61,77.74,483.27,0.43
737.20,23.4,70.38,1009.48,88.82,438.51,0.54
779.42,33.62,79.49,1009.38,63.71,431.03,0.76
440.87,6.89,71.53,1019.87,72.77,484,0.38
706.80,27.41,88.32,1008.51,65.49,431.64,0.52
550.45,26.37,91.67,1014.48,66.31,451.78,0.71
599.84,26.58,77.98,1014.49,65.87,439.46,0.25
434.50,15.25,62.57,1012.04,41.43,467.23,0.59
420.87,21.24,98.15,1012.6,49.27,459.81,0.65
586.31,24.98,57.58,1011.69,69.97,447.15,0.24
650.84,26.63,80.32,1012.66,61.19,442,0.29
526.01,18.87,69.48,1005.25,99.19,449.61,0.78
411.88,5.12,61.88,1025.45,96.88,481.28,0.38
720.33,31.1,76.51,1008.09,45.87,437.54,0.28
403.60,7.91,68.66,1023.57,88.44,475.52,0.27
587.82,14.97,78.73,1019.52,81.13,458.68,0.1
616.30,28.92,83.96,1011.19,56.13,436.76,0.34
625.19,22.92,90.36,1013.27,78.32,446.08,0.72
392.99,12.55,95.99,1012.58,75.44,474.35,0.41
418.54,9.38,68.45,1015.09,86.8,481.96,0.38
418.75,10.28,88.95,1018.44,85.23,479.66,0.8
780.12,30.31,58.52,1008.02,67.84,435.28,0.33
717.71,25.34,81.02,1007.74,92.52,434.86,0.36
707.20,30.47,58.19,1009.65,62.03,435.72,0.58
570.95,20.18,85.43,1020.3,77.1,454.14,0.7
474.40,21.31,98.62,1014.08,62.57,455.76,0.79
756.19,22.1,78.79,1009.4,85.78,442.83,0.6
645.79,20.09,92.45,1020.82,74.16,449.47,0.41
593.78,22.36,75.19,1016.69,73.6,445.76,0.07
375.11,9.43,87.79,1013.03,74.99,473.57,0.27
497.93,28.86,83.04,1003.93,52.85,435.75,0.59
710.23,23.25,52.38,1009.28,86.52,437.96,0.7
614.48,22.7,53.68,1019.15,71.48,438.59,0.05
599.84,21.3,92.17,1013.83,84.53,444.21,0.79
453.49,19.94,54.57,1008.52,74.69,459.47,0.54
441.07,14.97,95.68,1011.13,87.33,465.54,0.56
411.88,13.83,78.45,1024.85,73.08,458.85,0.35
719.63,23.39,56.46,1005.22,93.7,435.68,0.46
479.04,21.48,91.87,1006.88,63.54,449.2,0.61
589.94,22.63,52.54,1013.69,90.32,445.43,0.28
455.41,20.01,85.26,1014.21,38.19,453.96,0.37
442.28,20.52,85.73,1015.9,68.1,463.93,0.66
503.28,13.58,76.09,1008.9,86.8,465.82,0.2
452.88,14.38,62.91,1024.59,81.68,471.6,0.35
705.38,28.53,85.44,1004.46,68.03,427.72,0.08
360.67,13.89,89.76,1016.4,65.49,468.54,0.35
700.33,25.93,51.8,1008.91,79.43,434.08,0.36
618.83,17.84,57.37,1020.1,70.68,454.57,0.19
414.71,6.28,64.28,1020.96,90.91,489.79,0.11
400.36,8.16,70.85,1011.21,85.56,481.78,0.67
683.87,18.61,62.21,1004.07,84.49,443.57,0.19
441.57,16.23,55.51,1009.96,83.01,457.9,0.24
414.20,8.66,88.38,1022.51,98.55,472.16,0.77
672.05,19.53,87.42,1013.72,81.46,451.19,0.79
408.65,10.17,50.8,1018.54,68.21,470.33,0.59
406.73,6.48,71.7,1010.55,82.12,486.68,0.45
411.58,12.69,50.86,1016.05,82.92,472.68,0.69
624.89,23.77,51.88,1009.8,54.83,445.72,0.34
439.35,14.43,78.74,1021.86,83.14,466.58,0.29
577.62,28.25,97.78,1007.99,67.9,436.99,0.55
403.60,12.26,58.06,1011.79,79.06,470.87,0.22
431.67,14.55,71.57,1027.29,66.64,457.77,0.22
524.70,24.57,77.74,1005.8,70.07,448.15,0.5
416.73,10.25,94.2,1007.44,98.08,476.03,0.77
519.44,21.96,95.93,1007.28,89.96,442.87,0.04
400.36,9.82,91.24,1010.79,69.22,477.93,0.64
450.46,18.58,65.25,1016.61,48.15,459.06,0.09
453.49,20.57,80.44,1008.39,62.69,456.18,0.09
414.50,8.61,52.68,1024.81,95.6,473.62,0.43
439.55,9.99,98.18,1022.95,99.67,473.64,0.47
525.71,13.97,79.79,1012.05,85.36,463.64,0.74
441.07,16.76,85.26,1011.27,70.55,462.44,0.68
